# gapseq version: 1.3.1 fb7fbcb7
# Transporter sequence DB md5sum: b99a77e (2024-09-17)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|M1I9Q3|1.A.1.12.4	1.A.1.12.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|M1I9Q3|1.A.1.12.4	26.667	6.6	21.9	77	WP_168064676.1 xanthine dehydrogenase family protein molybdopterin-binding subunit [Sulfolobus sp. S-194]	188	262	transporter
gnl|TC-DB|Q58752|1.A.1.13.10	1.A.1.13.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q58752|1.A.1.13.10	21.574	6.42e-11	58.9	97	WP_168066814.1 potassium channel protein [Sulfolobus sp. S-194]	31	336	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	23.724	5.81e-12	62.0	98	WP_168066814.1 potassium channel protein [Sulfolobus sp. S-194]	26	336	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	29.439	2.99e-26	99.4	82	WP_168065145.1 SDR family oxidoreductase [Sulfolobus sp. S-194]	2	205	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	28.889	8.87e-23	90.9	78	WP_168065145.1 SDR family oxidoreductase [Sulfolobus sp. S-194]	6	203	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	POTASSIUM	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P54710|1.A.27.2.1	35.385	2.9	21.9	94	WP_286188833.1 MFS transporter [Sulfolobus sp. S-194]	129	192	transporter
gnl|TC-DB|P54710|1.A.27.2.1	1.A.27.2.1	SODIUM	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P54710|1.A.27.2.1	35.385	2.9	21.9	94	WP_286188833.1 MFS transporter [Sulfolobus sp. S-194]	129	192	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	24.590	3.0	21.6	93	WP_168065165.1 ATP-binding protein [Sulfolobus sp. S-194]	312	372	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	24.590	3.0	21.6	93	WP_168065165.1 ATP-binding protein [Sulfolobus sp. S-194]	312	372	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	29.167	9.9	18.9	77	WP_168065827.1 FAD-dependent oxidoreductase [Sulfolobus sp. S-194]	287	310	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	29.167	9.9	18.9	77	WP_168065827.1 FAD-dependent oxidoreductase [Sulfolobus sp. S-194]	287	310	transporter
gnl|TC-DB|P03493|1.A.58.1.1	1.A.58.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P03493|1.A.58.1.1	30.435	0.022	29.3	75	WP_168066797.1 hypothetical protein [Sulfolobus sp. S-194]	13	100	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	46.766	2.40e-48	153	97	WP_168065858.1 trimeric intracellular cation channel family protein [Sulfolobus sp. S-194]	1	199	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	46.766	2.40e-48	153	97	WP_168065858.1 trimeric intracellular cation channel family protein [Sulfolobus sp. S-194]	1	199	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	26.087	0.76	23.1	79	WP_286189100.1 IS200/IS605 family transposase [Sulfolobus sp. S-194]	48	93	transporter
gnl|TC-DB|P71469|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71469|1.C.29.1.1	28.846	0.39	23.9	96	WP_168066430.1 glutamine--fructose-6-phosphate transaminase (isomerizing) [Sulfolobus sp. S-194]	205	256	transporter
gnl|TC-DB|P71461|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71461|1.C.30.1.1	30.769	1.3	22.3	84	WP_052846164.1 MULTISPECIES: CoA-binding protein [Sulfolobaceae]	71	120	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	58.333	9.2	17.3	80	WP_168065449.1 L-threonylcarbamoyladenylate synthase [Sulfolobus sp. S-194]	249	260	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	58.333	9.2	17.3	80	WP_168065449.1 L-threonylcarbamoyladenylate synthase [Sulfolobus sp. S-194]	249	260	transporter
gnl|TC-DB|Q8TDX7|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8TDX7|1.I.1.1.3	26.421	1.23e-15	73.6	86	WP_168063967.1 serine/threonine-protein kinase [Sulfolobus sp. S-194]	459	748	transporter
