# gapseq version: 1.3.1 fb7fbcb7
# Transporter sequence DB md5sum: b99a77e (2024-09-17)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|QOC69403.1|1.A.1.12.6	21.176	1.0	23.9	80	DAHF01000054.1_2 # 1152 # 1961 # -1 # ID=116_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.363	42	115	transporter
gnl|TC-DB|QOC69403.1|1.A.1.12.6	1.A.1.12.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|QOC69403.1|1.A.1.12.6	21.176	1.0	23.9	80	DAHF01000054.1_2 # 1152 # 1961 # -1 # ID=116_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.363	42	115	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	27.542	1.22e-13	65.1	80	DAHF01000103.1_10 # 6954 # 7757 # 1 # ID=94_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.473	8	243	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AJP61612.1|1.A.40.1.2	25.000	7.7	20.8	79	DAHF01000069.1_11 # 8609 # 9511 # -1 # ID=95_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.371	66	121	transporter
gnl|TC-DB|AJP61612.1|1.A.40.1.2	1.A.40.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|AJP61612.1|1.A.40.1.2	25.000	7.7	20.8	79	DAHF01000069.1_11 # 8609 # 9511 # -1 # ID=95_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.371	66	121	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	32.143	8.4	18.5	90	DAHF01000054.1_9 # 7566 # 8219 # 1 # ID=116_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.422	96	122	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	32.143	8.4	18.5	90	DAHF01000054.1_9 # 7566 # 8219 # 1 # ID=116_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.422	96	122	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	51.256	1.30e-69	207	97	DAHF01000053.1_6 # 6013 # 6639 # -1 # ID=107_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.383	1	199	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	51.256	1.30e-69	207	97	DAHF01000053.1_6 # 6013 # 6639 # -1 # ID=107_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.383	1	199	transporter
gnl|TC-DB|Q19QW7|1.A.65.1.2	1.A.65.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q19QW7|1.A.65.1.2	29.825	4.4	21.2	75	DAHF01000097.1_8 # 11307 # 11669 # 1 # ID=51_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.421	45	98	transporter
gnl|TC-DB|P71469|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71469|1.C.29.1.1	19.149	6.5	20.0	90	DAHF01000014.1_23 # 22887 # 24092 # -1 # ID=57_23;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.430	208	254	transporter
gnl|TC-DB|P71461|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71461|1.C.30.1.1	21.277	2.5	21.2	84	DAHF01000020.1_2 # 643 # 1371 # 1 # ID=33_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.424	15	59	transporter
gnl|TC-DB|P06881|1.C.49.1.2	1.C.49.1.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P06881|1.C.49.1.2	22.951	4.1	22.7	95	DAHF01000103.1_7 # 3642 # 4979 # 1 # ID=94_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.456	332	438	transporter
gnl|TC-DB|P06881|1.C.49.1.2	1.C.49.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P06881|1.C.49.1.2	22.951	4.1	22.7	95	DAHF01000103.1_7 # 3642 # 4979 # 1 # ID=94_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.456	332	438	transporter
gnl|TC-DB|P06881|1.C.49.1.2	1.C.49.1.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P06881|1.C.49.1.2	22.951	4.1	22.7	95	DAHF01000103.1_7 # 3642 # 4979 # 1 # ID=94_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.456	332	438	transporter
gnl|TC-DB|Q8EH96|2.A.102.4.13	2.A.102.4.13	acetate	EX_cpd00029_e0	rxn05488,rxn08061,rxn08062,rxn30452	gnl|TC-DB|Q8EH96|2.A.102.4.13	29.562	0.052	30.0	92	DAHF01000106.1_1 # 64 # 957 # -1 # ID=88_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.398	23	278	transporter
