# gapseq version: 1.3.1 fb7fbcb7
# Transporter sequence DB md5sum: b99a77e (2024-09-17)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|O27564|1.A.1.13.2	1.A.1.13.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O27564|1.A.1.13.2	23.547	5.95e-10	55.8	92	WP_338598321.1 NAD(P)-binding protein [Sulfolobus tengchongensis]	31	332	transporter
gnl|TC-DB|P73132|1.A.1.13.7	1.A.1.13.7	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73132|1.A.1.13.7	22.961	2.66e-07	47.8	89	WP_338598321.1 NAD(P)-binding protein [Sulfolobus tengchongensis]	34	335	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	23.054	1.10e-13	67.0	98	WP_338598321.1 NAD(P)-binding protein [Sulfolobus tengchongensis]	26	336	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.315	8.00e-28	103	94	WP_338601848.1 SDR family oxidoreductase [Sulfolobus tengchongensis]	3	239	transporter
gnl|TC-DB|Q81HW2|1.A.1.21.1	1.A.1.21.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q81HW2|1.A.1.21.1	28.736	6.0	22.7	75	WP_338602717.1 aromatic ring-hydroxylating dioxygenase subunit alpha [Sulfolobus tengchongensis]	133	203	transporter
gnl|TC-DB|Q81HW2|1.A.1.21.1	1.A.1.21.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q81HW2|1.A.1.21.1	28.736	6.0	22.7	75	WP_338602717.1 aromatic ring-hydroxylating dioxygenase subunit alpha [Sulfolobus tengchongensis]	133	203	transporter
gnl|TC-DB|P0ABV8|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV8|1.A.30.2.2	22.222	0.66	25.8	81	WP_338599745.1 NAD-dependent epimerase/dehydratase family protein [Sulfolobus tengchongensis]	89	214	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	32.000	7.2	19.2	81	WP_338598876.1 aldo/keto reductase [Sulfolobus tengchongensis]	273	297	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	32.000	7.2	19.2	81	WP_338598876.1 aldo/keto reductase [Sulfolobus tengchongensis]	273	297	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	76.768	4.81e-110	310	97	WP_338599406.1 trimeric intracellular cation channel family protein [Sulfolobus tengchongensis]	1	198	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	76.768	4.81e-110	310	97	WP_338599406.1 trimeric intracellular cation channel family protein [Sulfolobus tengchongensis]	1	198	transporter
gnl|TC-DB|Q41951|1.A.8.10.10	1.A.8.10.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q41951|1.A.8.10.10	27.206	1.59e-09	53.1	88	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	9	273	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	26.316	3.30e-05	40.4	75	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	8	231	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	30.526	5.09e-15	69.7	89	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	12	278	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	27.817	1.41e-12	62.8	83	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	10	283	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	26.056	1.87e-14	67.4	97	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	12	275	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	28.369	1.73e-14	67.8	96	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	12	273	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	28.444	1.03e-16	73.2	84	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	10	233	transporter
gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	27.636	1.85e-13	65.1	88	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	12	280	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	28.696	1.72e-10	55.8	81	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	12	234	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	28.270	6.83e-11	57.0	82	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	13	234	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	28.464	4.90e-13	63.5	96	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	10	269	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	24.686	1.01e-10	57.0	83	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	12	233	transporter
gnl|TC-DB|B6ZHB9|1.A.8.8.18	1.A.8.8.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|B6ZHB9|1.A.8.8.18	27.941	1.07e-15	71.6	80	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	13	276	transporter
gnl|TC-DB|729057658|1.A.8.8.17	1.A.8.8.17	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|729057658|1.A.8.8.17	22.744	2.30e-06	43.9	78	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	13	275	transporter
gnl|TC-DB|ALA27401|1.A.8.9.17	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ALA27401|1.A.8.9.17	29.225	1.86e-21	89.0	78	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	1	275	transporter
gnl|TC-DB|806392255|1.A.8.9.10	1.A.8.9.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|806392255|1.A.8.9.10	23.920	6.43e-15	69.7	88	WP_338603229.1 MIP/aquaporin family protein [Sulfolobus tengchongensis]	1	287	transporter
