# gapseq version: 1.3.1 fb7fbcb7
# Transporter sequence DB md5sum: b99a77e (2024-09-17)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|M1I9Q3|1.A.1.12.4	1.A.1.12.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|M1I9Q3|1.A.1.12.4	28.889	0.82	24.6	86	MFP3202417.1 MAG: glutamine--fructose-6-phosphate transaminase (isomerizing) [Sulfolobus sp.]	494	582	transporter
gnl|TC-DB|Q58752|1.A.1.13.10	1.A.1.13.10	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q58752|1.A.1.13.10	21.131	3.23e-08	50.8	97	MFP3201692.1 MAG: NAD-binding protein [Sulfolobus sp.]	31	336	transporter
gnl|TC-DB|O27564|1.A.1.13.2	1.A.1.13.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O27564|1.A.1.13.2	24.024	3.77e-14	68.6	91	MFP3201692.1 MAG: NAD-binding protein [Sulfolobus sp.]	32	335	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	25.075	2.08e-12	63.5	98	MFP3201692.1 MAG: NAD-binding protein [Sulfolobus sp.]	26	338	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	29.555	9.11e-23	90.5	92	MFP3203701.1 MAG: SDR family oxidoreductase [Sulfolobus sp.]	1	228	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	37.500	4.5	19.6	100	MFP3203159.1 MAG: MFS transporter [Sulfolobus sp.]	316	347	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	37.500	4.5	19.6	100	MFP3203159.1 MAG: MFS transporter [Sulfolobus sp.]	316	347	transporter
gnl|TC-DB|Q5QRI8|1.A.53.1.1	1.A.53.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q5QRI8|1.A.53.1.1	30.769	0.21	25.0	83	MFP3201224.1 MAG: MMPL family transporter [Sulfolobus sp.]	83	131	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	48.276	8.12e-52	162	98	MFP3200787.1 MAG: trimeric intracellular cation channel family protein [Sulfolobus sp.]	1	201	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	48.276	8.12e-52	162	98	MFP3200787.1 MAG: trimeric intracellular cation channel family protein [Sulfolobus sp.]	1	201	transporter
gnl|TC-DB|P71470|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71470|1.C.29.1.1	28.814	0.44	23.9	95	MFP3201672.1 MAG: cysteine--tRNA ligase [Sulfolobus sp.]	379	437	transporter
gnl|TC-DB|P71461|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71461|1.C.30.1.1	29.787	4.3	21.2	84	MFP3200997.1 MAG: phosphorylating glyceraldehyde-3-phosphate dehydrogenase [Sulfolobus sp.]	72	110	transporter
gnl|TC-DB|Q8TDX7|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8TDX7|1.I.1.1.3	23.734	1.14e-13	67.4	88	MFP3201290.1 MAG: serine/threonine-protein kinase [Sulfolobus sp.]	259	564	transporter
gnl|TC-DB|Q949R9|2.A.105.1.4	2.A.105.1.4	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|Q949R9|2.A.105.1.4	23.158	4.8	22.7	78	MFP3202542.1 MAG: hypothetical protein RXR43_09970 [Sulfolobus sp.]	110	200	transporter
gnl|TC-DB|G7HJF6|2.A.108.2.9	2.A.108.2.9	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|G7HJF6|2.A.108.2.9	22.430	3.7	23.1	88	MFP3200835.1 MAG: ribose-phosphate diphosphokinase [Sulfolobus sp.]	39	136	transporter
gnl|TC-DB|G7HJF6|2.A.108.2.9	2.A.108.2.9	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|G7HJF6|2.A.108.2.9	22.430	3.7	23.1	88	MFP3200835.1 MAG: ribose-phosphate diphosphokinase [Sulfolobus sp.]	39	136	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	lactose	EX_cpd00208_e0	rxn08779,rxn08781,rxn10169	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	maltose	EX_cpd00179_e0	rxn09673	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q97xw7|2.A.1.1.118	2.A.1.1.1	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|Q97xw7|2.A.1.1.118	47.917	3.00e-124	364	98	MFP3202247.1 MAG: MFS transporter [Sulfolobus sp.]	6	431	transporter
gnl|TC-DB|Q56ZZ7|2.A.1.1.102	2.A.1.1.102	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q56ZZ7|2.A.1.1.102	27.119	3.61e-39	145	82	MFP3203776.1 MAG: sugar porter family MFS transporter [Sulfolobus sp.]	3	454	transporter
gnl|TC-DB|Q0WWW9|2.A.1.1.103	2.A.1.1.103	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|Q0WWW9|2.A.1.1.103	27.754	5.92e-33	127	80	MFP3203776.1 MAG: sugar porter family MFS transporter [Sulfolobus sp.]	28	454	transporter
gnl|TC-DB|P30606|2.A.1.1.104	2.A.1.1.104	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|P30606|2.A.1.1.104	29.979	3.57e-45	163	76	MFP3203776.1 MAG: sugar porter family MFS transporter [Sulfolobus sp.]	21	460	transporter
gnl|TC-DB|P32465|2.A.1.1.108	2.A.1.1.108	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P32465|2.A.1.1.108	26.639	1.45e-30	120	83	MFP3203776.1 MAG: sugar porter family MFS transporter [Sulfolobus sp.]	13	458	transporter
gnl|TC-DB|Q51330|2.A.1.11.1	2.A.1.11.1	formate	EX_cpd00047_e0	rxn05559,rxn08524,rxn10860,rxn12422,rxn34214,rxn34215,rxn34216,rxn34459,rxn27362	gnl|TC-DB|Q51330|2.A.1.11.1	27.873	1.98e-30	117	95	MFP3201537.1 MAG: OFA family MFS transporter [Sulfolobus sp.]	1	374	transporter
gnl|TC-DB|Q51330|2.A.1.11.1	2.A.1.11.1	FORMATE	EX_cpd00047_e0	rxn05559,rxn08524,rxn10860,rxn12422,rxn34214,rxn34215,rxn34216,rxn34459,rxn27362	gnl|TC-DB|Q51330|2.A.1.11.1	27.873	1.98e-30	117	95	MFP3201537.1 MAG: OFA family MFS transporter [Sulfolobus sp.]	1	374	transporter
gnl|TC-DB|Q51330|2.A.1.11.1	2.A.1.11.1	OXALATE	EX_cpd00180_e0	rxn12615,rxn27362	gnl|TC-DB|Q51330|2.A.1.11.1	27.873	1.98e-30	117	95	MFP3201537.1 MAG: OFA family MFS transporter [Sulfolobus sp.]	1	374	transporter
gnl|TC-DB|P23585|2.A.1.1.111	2.A.1.1.111	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P23585|2.A.1.1.111	25.826	2.96e-29	117	86	MFP3203776.1 MAG: sugar porter family MFS transporter [Sulfolobus sp.]	19	458	transporter
gnl|TC-DB|Q9P3U6|2.A.1.1.112	2.A.1.1.112	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q9P3U6|2.A.1.1.112	25.263	5.01e-28	113	83	MFP3203776.1 MAG: sugar porter family MFS transporter [Sulfolobus sp.]	21	458	transporter
