# gapseq version: 1.3.1 fb7fbcb7
# Transporter sequence DB md5sum: b99a77e (2024-09-17)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|O27564|1.A.1.13.2	1.A.1.13.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|O27564|1.A.1.13.2	25.301	2.52e-18	79.7	92	TRM81103.1 potassium transporter TrkA [Sulfolobus sp. F3]	1	303	transporter
gnl|TC-DB|P73132|1.A.1.13.7	1.A.1.13.7	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73132|1.A.1.13.7	21.406	3.90e-10	55.5	84	TRM81103.1 potassium transporter TrkA [Sulfolobus sp. F3]	13	302	transporter
gnl|TC-DB|Q57604|1.A.1.13.8	1.A.1.13.8	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57604|1.A.1.13.8	23.148	1.53e-13	65.5	95	TRM81103.1 potassium transporter TrkA [Sulfolobus sp. F3]	4	303	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	26.316	8.8	19.6	79	TRM85325.1 amidophosphoribosyltransferase [Sulfolobus sp. F3]	178	234	transporter
gnl|TC-DB|NP_001116266.1|1.A.27.2.3	1.A.27.2.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|NP_001116266.1|1.A.27.2.3	26.316	8.8	19.6	79	TRM85325.1 amidophosphoribosyltransferase [Sulfolobus sp. F3]	178	234	transporter
gnl|TC-DB|P29705|1.A.77.3.29	1.A.77.3.29	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P29705|1.A.77.3.29	25.564	8.9	21.2	94	TRM85217.1 class I SAM-dependent methyltransferase [Sulfolobus sp. F3]	22	143	transporter
gnl|TC-DB|P71470|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71470|1.C.29.1.1	32.787	0.26	23.9	98	TRM85121.1 cysteine--tRNA ligase [Sulfolobus sp. F3]	377	437	transporter
gnl|TC-DB|P71461|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71461|1.C.30.1.1	26.667	4.1	20.4	82	TRM84211.1 CTP synthase [Sulfolobus sp. F3]	72	116	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	46.667	6.3	16.9	100	TRM85141.1 hypothetical protein DJ522_01910 [Sulfolobus sp. F3]	247	261	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	46.667	6.3	16.9	100	TRM85141.1 hypothetical protein DJ522_01910 [Sulfolobus sp. F3]	247	261	transporter
gnl|TC-DB|Q9HC98|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q9HC98|1.I.1.1.3	22.419	8.48e-08	48.9	88	TRM83845.1 serine/threonine protein kinase [Sulfolobus sp. F3]	452	781	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	lactose	EX_cpd00208_e0	rxn08779,rxn08781,rxn10169	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	maltose	EX_cpd00179_e0	rxn09673	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|P46333|2.A.1.1.106	31.924	2.07e-57	192	97	TRM84534.1 MFS transporter [Sulfolobus sp. F3]	17	475	transporter
